Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"Austria",AUT,24625.6007227434,24558.7636778868,26527.5930910347,32294.0488606559,36889.2335135194,38417.4577857677,40669.3269586152,46915.3374004507,51919.9835754226,48153.3240199631,46903.7615854354,51442.2762464411,48564.9173350875,50731.1272541851,51786.3771747897,44195.8175947748
"Azerbaijan",AZE,655.097432602586,703.671250439944,763.108764637007,883.692580745256,1045.01416451835,1578.36733030667,2472.95725732287,3851.33101236931,5574.47096169468,4950.39743713656,5843.5337683582,7189.81515142228,7495.86194235033,7875.3446110554,7890.83525042681,5500.50462041954
"Bahamas, The",BHS,24849.6064784902,25234.1441512502,26590.1401788013,26204.8804986853,26393.4139538137,28280.870835298,28829.8493750425,29687.865215033,29013.6302870767,27120.6905452145,27046.6576651879,26644.9265775896,28059.6553953426,27389.6019706988,28720.6621934516,29724.9533355233
"Bahrain",BHR,12738.7741181575,12291.8326130535,12819.9959353139,14230.29675298,15777.9636408956,17705.235163895,19057.7989047138,20883.5480311994,23155.821449155,19448.1832553789,21186.8143292279,23741.5574626702,25102.726348527,25790.7303121382,25464.760097715,22795.4488576612
"Bangladesh",BGD,413.100185264402,410.048540904043,407.96296761642,440.714404819588,469.116458369252,492.808648889577,503.538332188534,552.338934530705,630.108979202923,698.520941599792,776.859576940281,856.381886818701,876.818006772634,973.773900233539,1108.51495720707,1236.00439770048
"Barbados",BRB,11560.2459031879,11510.0404330443,11658.629036798,11998.1756941147,12828.4389489954,14173.7513776686,15595.6394564112,17219.0486803908,17550.6633410971,16310.4605337648,16489.7958217909,16907.2092592727,16691.3326357636,16893.6062702039,16924.1903399365,16990.2194668498
"Belarus",BLR,1276.2880341,1244.37318523431,1479.38341686049,1819.5257919603,2378.33975707804,3126.07176665248,3848.21602630083,4735.48475318433,6376.18315298455,5352.48959072155,6034.67885177216,6527.65496891514,6953.21730687953,7998.07795284714,8341.28810376533,5967.0691848005
"Belgium",BEL,23098.8865077401,23015.0712632462,25006.191397109,30655.2092679024,35429.4077933344,36809.7013403619,38705.1067959147,44319.165448813,48303.397956286,44760.2912443709,44184.946353965,47410.5669277467,44670.5606845101,46757.9518559601,47764.0715120825,41008.296719472
"Belize",BLZ,4642.1470345998,4687.62595727529,4816.65084555075,4916.70391442359,5106.05303386642,5212.66161390994,5475.72290971811,5707.11336494231,5656.40836062302,5348.9978387566,5397.29157482319,5521.36627642336,5645.89582239311,5887.93343545467,6068.08860885237,6142.47883269283
"Benin",BEN,502.997981047457,508.347447530609,564.379058062222,698.408777107434,784.119074627373,805.904685812985,837.132002619121,944.643171187138,1098.94667760499,1061.71835877641,1009.48949432994,1099.41431139182,1112.56953520697,1214.29556576578,1251.50476542685,1041.65252315982
"Bermuda",BMU,56284.1686478094,58883.9594265967,62583.1002034588,66111.7252270035,70359.3191088798,75882.0338560339,95221.8588720301,104287.387498459,106935.486341979,101407.764031934,101875.28407346,97774.1620717428,98431.8651810241,99471.6388978631,98467.683993982,102005.62564189
"Bhutan",BTN,722.826756164774,765.009233868681,841.366310411392,951.739167067562,1050.1331149644,1201.43364840454,1299.63124894385,1714.03107153767,1780.11221819632,1768.74595673512,2194.12587023264,2491.27345640704,2470.0721358991,2409.43998870348,2589.89914074134,2695.63690417126
"Bolivia",BOL,977.329470360318,930.875731258944,888.198576030752,892.355380474993,951.951622939377,1018.31366190632,1200.06809196654,1351.03515410788,1687.57856734657,1725.14628617645,1922.05866181583,2304.98229547312,2562.46678423329,2853.79716191598,3022.46288443562,2975.64881143063
"Bosnia and Herzegovina",BIH,1332.21052295102,1382.76772356845,1602.56371024732,2031.40224395448,2451.57725778295,2741.08014066368,3170.17487272165,3936.93245931229,4846.79210102833,4542.31090426632,4506.93366912263,4980.90615523376,4688.34590186606,5025.24065229631,5196.96942563586,4654.60955224718
"Botswana",BWA,3351.6965168531,3115.6789995428,3029.78852194193,4111.73808510941,4818.21310297023,5240.316159068,5142.91383354359,5372.34073174354,5345.84849075332,4938.25013589692,6041.73205119653,7080.77829746932,6392.98734736839,6436.60306321162,6844.03299550537,5869.73777207249
"Brazil",BRA,3726.81142041068,3142.23552848117,2824.71539582671,3056.64968001868,3623.22390486815,4773.26848028038,5866.02431314405,7323.19034003928,8801.75947547502,8569.90180523381,11249.2937410718,13200.5581661879,12327.5155558345,12258.5648491717,12071.4046547485,8783.21441310718
"British Virgin Islands",VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Brunei Darussalam",BRN,17971.8888128415,16437.4266240037,16817.2357346277,18521.3625827095,21839.259312147,25991.2062011563,30767.7473785142,32337.2815244065,37427.5488606831,27497.5417023649,34609.6999594925,46139.1068369475,46844.1967205228,43950.0570624107,41035.7731365374,30681.4374376753
"Bulgaria",BGR,1621.26210738992,1770.90677898958,2092.98288625558,2719.4948917632,3389.68761293887,3899.82513751438,4523.14752481934,5888.77685220636,7271.30520126259,6988.2748189241,6862.75768747522,7856.9859584228,7431.01404543523,7686.62922249699,7912.52053999441,7081.10233572915
"Burkina Faso",BFA,249.802075679455,260.443473018265,286.753715076072,363.81835185104,405.451276214086,442.944430923244,457.342074945007,516.75032795654,621.890271194649,603.877545123116,627.270395424425,727.612474945609,733.972878936782,762.303780331201,767.371344245295,632.126685840944
"Burundi",BDI,138.004617225366,135.606475784646,124.139301602651,114.36700716216,128.538422519456,151.188541052498,166.276245228761,170.706876423534,194.710634589705,204.544755650643,222.660583148072,236.451347423735,238.205945258781,241.547665658082,257.818557465694,289.359627144769
"Cabo Verde",CPV,1176.70725787049,1208.45760530782,1311.21457745204,1693.97855163071,1900.88846682975,1972.78493691456,2220.09817717759,3268.30568917315,3839.86364377088,3592.31589113941,3500.97745196395,3880.06918190627,3583.46171744213,3757.65995326233,3739.27827890219,3169.0789154116
"Cambodia",KHM,301.516598515387,322.899863855535,341.036765774788,364.275301697561,410.086132919785,475.069394260589,539.747365398375,629.921076681188,742.397972379419,734.815118591223,782.695738661233,880.310304425532,950.482544612158,1015.2208813493,1098.07453750857,1170.74281578324
"Cameroon",CMR,700.163236203967,706.98421727326,780.270553768691,976.519303225376,1119.98086102815,1129.35797968829,1177.96860540961,1311.00296320709,1476.00907753289,1445.86024801265,1383.81386416854,1497.92658563929,1433.72392714331,1559.13904964956,1631.71398553289,1399.67533596847
"Canada",CAN,24271.0020563821,23821.4455867378,24255.3385818322,28300.4630963791,32143.6814078562,36382.5079164537,40504.0607253203,44659.8951408034,46710.5055759013,40876.3101540295,47562.0834253057,52223.696112356,52669.0899632316,52635.1749580433,50955.9983232404,43596.1355365546
"Cayman Islands",CYM,..,..,..,..,..,..,87184.5129854821,89960.6830340539,89704.2225482118,81398.3236004786,76873.1953208127,75435.6152271054,75466.1358699971,75685.3583652828,76610.647967975,77295.8456647776
"Central African Republic",CAF,243.877580064527,242.575726686745,253.410670609024,283.675348045503,309.190242616461,317.877678147081,340.414517167645,388.477771292739,446.228769926266,452.922236140724,459.776981626072,515.209503796684,525.867503569855,352.226854976587,394.856933074796,351.879754779905
