Country Name,LE Mean,GDP Mean
"Slovak Republic",72.48306451612903,11729.618314137557
"Jordan",68.03159677419353,2053.2569155349697
"Viet Nam",67.58630645161293,1202.064889717746
"Namibia",56.26037096774193,3300.5118457695257
"Finland",75.3910267505901,22859.745835220292
"Panama",71.14835483870968,4711.374202524675
"Mauritius",67.65476160503542,4862.600127700649
"Nicaragua",61.8976935483871,893.6084081944103
"Bolivia",56.434870967741944,1119.1713249239187
"Greenland",67.3277716186253,24176.32290024461
"Montenegro",72.75060660896932,5973.720744251701
"Tonga",66.78458064516128,2163.6783666900346
"Syrian Arab Republic",66.58783870967741,2567.4341642259465
"St. Martin (French part)",74.65953225806453,21632.3041807741
"Haiti",53.90885483870967,553.5063553759874
"New Zealand",76.07896931549965,17125.613304153605
"Kenya",57.186999999999976,580.7165627781957
"Belize",67.98583870967741,2999.342348458555
"Virgin Islands (U.S.)",71.89835444531865,37100.52535936726
"Marshall Islands",61.46554838709677,2637.2583639018044
"Botswana",57.627677419354846,2770.5481748376296
"Armenia",68.27814516129031,2212.431939051463
"Comoros",54.034048387096774,1033.2084857275881
"Malta",75.32725216365067,12114.410755505553
"Qatar",72.52979032258064,35214.26816918058
"Lebanon",68.94116129032257,4995.848047789199
"Mali",45.34762903225806,370.11873314760464
"Madagascar",54.25829032258064,333.01565992408024
"South Sudan",39.10119354838709,1378.4750620335913
"Portugal",73.5881113296617,9897.462465623368
"Netherlands",77.20417781274587,24183.33377980244
"Morocco",60.665645161290335,1488.3870719171343
"Estonia",71.3278509047994,13493.229603893165
"South Africa",59.196661290322574,3508.0097552540633
"Guinea-Bissau",47.47985483870969,338.8747198054934
"Romania",70.42766404405978,5670.0687210441765
"Papua New Guinea",58.381645161290315,1024.7331451791686
"Zimbabwe",54.743532258064526,748.756091689953
"Malawi",46.451532258064496,387.12284323944505
"Barbados",72.46951612903224,10476.293320892268
"Australia",76.82360346184106,23045.069233712948
"Bahamas, The",69.46875806451614,14578.245644626455
"Uganda",50.17604838709676,335.01166069831373
"Zambia",52.337758064516144,675.651512805369
"Angola",46.675645161290305,1688.8900855427742
"Samoa",66.59980645161292,2198.97415460094
"Turkiye",66.5373870967742,4105.592792710211
"Gabon",58.76719354838709,4464.5086700680085
"Chad",45.49469354838708,364.44646301911735
"Denmark",75.94804878048781,31025.33955560078
"Myanmar",56.858338709677426,306.04176167259504
"Solomon Islands",63.26925806451612,1079.9960618306404
"Congo, Rep.",56.32724193548387,1196.5138626409382
"Micronesia, Fed. Sts.",66.39422580645162,2319.9594172839466
"Bahrain",71.43441935483871,15139.198050080047
"Brazil",65.47354838709676,3935.3412024995296
"Georgia",68.2585806451613,2427.1391968026533
"Luxembourg",75.27309008654605,47049.56567467051
"Nigeria",45.9663064516129,989.1592983950019
"Slovenia",73.92126278520851,19454.027439869446
"Hungary",71.09963414634147,10195.64255278336
"Israel",76.94071909167369,22049.0555045485
"Bangladesh",57.9884193548387,504.61914191657746
"Isle of Man",72.15612903225805,53848.599810279215
"Somalia",48.27027419354839,172.8415202954115
"Thailand",67.88520967741935,2268.5178993659297
"Austria",75.49940991345396,22715.736300513985
"Brunei Darussalam",70.10187096774195,18430.194275328056
"Indonesia",61.364258064516136,1336.0009029996472
"Italy",76.82639653815895,17497.01559125366
"Colombia",68.48606451612903,2591.8888549285025
"Venezuela, RB",69.24582258064518,4114.993085963115
"Albania",71.50090322580645,2447.220633439337
"Nepal",55.063596774193535,314.699133779356
"Lithuania",71.6481628638867,10923.487368549939
"Croatia",72.29280527143982,10991.722279879637
"Kosovo",70.83246774193547,3789.4059185669976
"St. Vincent and the Grenadines",70.48746774193549,3045.2181648281935
"Korea, Rep.",71.03494374508263,10698.526897427413
"France",76.65924468922107,20527.537133860176
"Channel Islands",76.5984677419355,55338.851844110104
"United States",74.86616837136114,27416.631579210727
"Lao PDR",53.9968064516129,930.0174051027374
"Eritrea",51.483370967741934,365.8614703233103
"Tuvalu",60.145806451612906,2571.8658721957227
"Hong Kong SAR, China",77.2632124311566,17789.05169895945
"Cabo Verde",64.32648387096773,1938.19230568693
"French Polynesia",72.5972258064516,13242.59438167064
"Benin",51.336548387096805,504.54390047136314
"Togo",52.73583870967744,458.730554618325
"Japan",78.03736034618413,22985.270228937276
"Afghanistan",47.91503225806451,300.05562241292546
"Germany",75.45309480723841,25770.65317497362
"Argentina",71.07735483870967,5617.756753597606
"Maldives",62.367806451612914,4104.007706448263
"Azerbaijan",63.57130645161289,3007.71120268899
"Uzbekistan",64.85004838709676,1201.2474776128759
"Mauritania",57.559645161290334,883.7445995889155
"Yemen, Rep.",54.784112903225804,760.2812041485006
"Sri Lanka",69.72787096774196,1173.5022950705193
"Greece",76.48297757671125,11044.481463278675
"Switzerland",77.76344217151848,43323.58467458464
"Philippines",66.04582258064515,1176.8611663092952
"Senegal",53.88741935483871,802.6278461812033
"West Bank and Gaza",71.79374999999999,2270.586680566304
"El Salvador",61.533435483870974,1725.398381620338
"Cuba",73.32546774193548,3558.8074136629666
"Iran, Islamic Rep.",62.91601612903225,2653.6478764174417
"Cayman Islands",82.190243902439,82073.69592790552
"Algeria",61.417532258064504,2213.3555037413294
"Guatemala",61.10103225806452,1645.7635394259426
"Liechtenstein",80.7997386759582,78440.65265310169
"Eswatini",52.95129032258065,1629.0958987574193
"Seychelles",71.75557491289202,6234.864694840184
"Liberia",48.108677419354834,511.53336453554124
"Ethiopia",48.861467741935485,325.4858563358432
"Kyrgyz Republic",64.39793587726199,748.7491917131242
"Macao SAR, China",76.71151612903226,32297.53966849954
