Country Name,LE Mean,UWC Mean
"Togo",52.73583870967744,17.7
"Dominican Republic",64.83879032258065,4.766666666666667
"Marshall Islands",61.46554838709677,11.9
"Rwanda",51.2875806451613,15.229999999999999
"Cabo Verde",64.32648387096773,12.75
"Korea, Dem. People's Rep.",65.76774193548385,23.114285714285717
"Vanuatu",63.65025806451612,11.266666666666666
"Bahrain",71.43441935483871,6.949999999999999
"Armenia",68.27814516129031,3.4800000000000004
"Guyana",63.20125806451613,10.685714285714287
"Zambia",52.337758064516144,17.785714285714285
"Gabon",58.76719354838709,6.933333333333334
"Pakistan",59.0040806451613,33.725
"South Africa",59.196661290322574,7.166666666666665
"Ecuador",67.26950000000001,7.871428571428572
"Singapore",75.22376868607397,3.3
"Belgium",75.7994177812746,1.1
"Tunisia",66.25446774193546,3.766666666666667
"St. Lucia",68.69027419354839,2.8
"Bhutan",54.910451612903216,17.75
"Nepal",55.063596774193535,34.855555555555554
"Indonesia",61.364258064516136,24.35625
"Equatorial Guinea",49.653854838709655,11.425
"Myanmar",56.858338709677426,28.729999999999997
"Central African Republic",47.84150000000001,22.525
"Oman",64.12590322580644,11.966666666666667
"Netherlands",77.20417781274587,1.05
"Guinea-Bissau",47.47985483870969,17.619999999999997
"Cambodia",53.5310806451613,29.742857142857144
"Namibia",56.26037096774193,18.049999999999997
"Mauritius",67.65476160503542,17.05
"Brazil",65.47354838709676,3.85
"Liberia",48.108677419354834,16.6
"Belarus",70.48920613690011,1.3
"Honduras",63.37979032258063,12.8875
"Argentina",71.07735483870967,2.725
"Serbia",70.2389114870181,1.55
"Seychelles",71.75557491289202,4.4
"Sri Lanka",69.72787096774196,25.3875
"Congo, Dem. Rep.",49.32816129032258,26.216666666666665
"Azerbaijan",63.57130645161289,8.083333333333334
"Czechia",73.30939024390244,1.5
"North Macedonia",69.81026239181747,1.5250000000000001
"Angola",46.675645161290305,23.433333333333337
"Germany",75.45309480723841,0.8
"Mongolia",59.55930645161289,5.788888888888888
"Kiribati",60.0672741935484,11.1
"Djibouti",54.25766129032257,20.080000000000002
"Qatar",72.52979032258064,4.8
"Saudi Arabia",65.93080645161291,5.775
"El Salvador",61.533435483870974,7.766666666666667
"Zimbabwe",54.743532258064526,10.71
"Costa Rica",73.62279032258067,2.2888888888888888
"Papua New Guinea",58.381645161290315,22.599999999999998
"Brunei Darussalam",70.10187096774195,9.6
"Jamaica",69.93896774193544,3.886363636363637
"Burkina Faso",48.5243870967742,21.62666666666667
"Algeria",61.417532258064504,6.7625
"Burundi",48.35019354838709,31.125
"Thailand",67.88520967741935,11.5
"Botswana",57.627677419354846,12.666666666666666
"Madagascar",54.25829032258064,32.550000000000004
"Latvia",70.64607002360347,0.0
"Chile",71.47398387096777,0.7466666666666666
"Suriname",64.56150000000001,7.775
"India",58.14659677419354,41.739999999999995
"Bosnia and Herzegovina",70.93124193548387,2.466666666666667
"Panama",71.14835483870968,4.275
"West Bank and Gaza",71.79374999999999,2.525
"Malaysia",69.59362903225808,17.754545454545454
"Lao PDR",53.9968064516129,30.871428571428567
"Samoa",66.59980645161292,2.766666666666667
"Somalia",48.27027419354839,26.03333333333333
"Kuwait",72.49324193548385,2.5904761904761906
"Bangladesh",57.9884193548387,44.75384615384616
"Turkiye",66.5373870967742,4.8428571428571425
"Australia",76.82360346184106,0.25
"Ghana",55.044870967741936,17.509999999999998
"Sao Tome and Principe",60.04762903225808,9.566666666666668
"Bolivia",56.434870967741944,7.663636363636363
"Greece",76.48297757671125,0.5
"Eritrea",51.483370967741934,37.474999999999994
"Belize",67.98583870967741,5.300000000000001
"Niger",46.004241935483876,37.078947368421055
"Paraguay",67.41037096774195,2.525
"Kazakhstan",65.47009874114869,4.2
"Senegal",53.88741935483871,16.293333333333333
"Lithuania",71.6481628638867,2.6
"Turkmenistan",62.844016129032276,6.625
"Ethiopia",48.861467741935485,31.199999999999996
"Guinea",47.949709677419335,19.1
"Japan",78.03736034618413,3.4
"Poland",72.48442171518485,0.8
"Egypt, Arab Rep.",61.3350806451613,8.739999999999998
"Malawi",46.451532258064496,16.618750000000002
"Nicaragua",61.8976935483871,6.883333333333333
"Mauritania",57.559645161290334,20.890909090909094
"Sierra Leone",45.39812903225807,19.144444444444442
"China",66.57020967741934,7.900000000000001
"Uzbekistan",64.85004838709676,6.36
"Yemen, Rep.",54.784112903225804,37.78571428571428
"Trinidad and Tobago",68.77520967741935,4.633333333333334
"Mali",45.34762903225806,22.721428571428568
"Morocco",60.665645161290335,6.328571428571428
"Gambia, The",50.80032258064515,16.462500000000002
"Mexico",68.06566129032257,5.723076923076922
"Ukraine",69.27056215578287,4.1
"Haiti",53.90885483870967,16.9
"Viet Nam",67.58630645161293,21.588
"Georgia",68.2585806451613,2.0749999999999997
"Cuba",73.32546774193548,2.9
"Fiji",64.47937096774193,5.633333333333333
"Iran, Islamic Rep.",62.91601612903225,7.26
"Kenya",57.186999999999976,15.979999999999999
"Uganda",50.17604838709676,13.700000000000001
"South Sudan",39.10119354838709,30.1
"Timor-Leste",46.55641935483871,39.75714285714286
"Afghanistan",47.91503225806451,30.074999999999996
"Venezuela, RB",69.24582258064518,4.242857142857143
"Uruguay",72.93209677419355,4.2
"Cote d'Ivoire",50.745032258064526,17.37142857142857
"Libya",65.02304838709678,7.166666666666667
"Estonia",71.3278509047994,0.4
"Albania",71.50090322580645,4.8
"Chad",45.49469354838708,27.559999999999995
"Comoros",54.034048387096774,19.9
"Romania",70.42766404405978,3.8800000000000003
