Country Name,LE Mean,GDP Mean,UWC Mean
"Uruguay",76.44362499999998,9961.264379265342,4.266666666666667
"Tanzania",58.2659375,634.9488544464112,14.785714285714286
"Libya",71.57575000000001,9129.849119961129,8.649999999999999
"Paraguay",71.32399999999998,3676.1928844236154,3.0
"Iraq",66.52075,3493.793849416773,9.040000000000001
"Ecuador",74.9484375,3949.669586460628,6.25
"Samoa",71.773375,2890.3732763836388,3.2
"Venezuela, RB",72.642875,8693.30784946236,3.900000000000001
"Afghanistan",59.439,432.410022001591,28.15
"Sao Tome and Principe",64.5330625,1047.8639411285967,8.8
"Uzbekistan",68.351375,1278.127853984682,5.9
"Netherlands",79.97088414634146,44595.74621309507,1.0
"Romania",72.86798780487806,6555.794560632931,3.6666666666666665
"Togo",56.79731249999999,633.4279055786062,17.26
"India",66.01106250000001,998.5303225630795,36.4
"Poland",75.6408536585366,10031.726317857378,0.8
"Belgium",79.54115853658534,38868.67644180093,1.1
"Fiji",66.8366875,3545.349799337572,5.4
"Eswatini",46.59425,3070.847020838389,6.8199999999999985
"Philippines",70.41550000000001,1853.695393095652,20.560000000000002
"Kyrgyz Republic",68.94329268292682,760.4835271838435,3.5
"Ukraine",69.21480182926832,2454.823482513429,4.1
"Somalia",51.627125,373.76109499487,27.65
"Tunisia",74.93700000000003,3511.9906736606476,3.033333333333333
"Vanuatu",69.41349999999998,2211.930237106159,11.6
"Burundi",54.692687500000005,188.3829127086596,34.46666666666667
"Singapore",80.54085365853659,39250.15142726522,3.3
"Syrian Arab Republic",70.7829375,5654.075644862923,9.475
"Tuvalu",63.8466875,2702.2536146282923,1.6
"Myanmar",62.24081249999998,582.305291397113,27.26666666666667
"Botswana",56.39424999999999,5195.79100651541,11.45
"Morocco",69.80993749999999,2618.7098236084,6.3500000000000005
"South Sudan",52.332750000000004,1378.4750620335913,30.1
"Germany",79.4939024390244,37767.18149176625,1.1
"Malawi",53.79237500000001,487.1832720211661,16.437500000000004
"Belarus",70.2689024390244,4591.146365253542,1.3
"Colombia",73.9573125,4991.611542186987,4.433333333333334
"Kuwait",77.6996875,36511.236121516326,2.466666666666667
"Nicaragua",70.00293749999999,1396.8542304759346,5.35
"Zimbabwe",49.0719375,787.6883737326291,11.12
"Bangladesh",67.8305,677.9131949411213,37.83846153846153
"Peru",73.284,4061.29648399249,4.130000000000001
"Angola",53.820125000000004,2828.2715841415556,17.05
"Lesotho",46.0150625,871.6052531936599,13.5
"Liberia",57.182,449.1001085205809,18.775000000000002
"Nauru",59.392875000000004,7687.440770155078,4.8
"Seychelles",72.83689024390243,11465.919685048553,3.8
"Central African Republic",48.095625000000005,367.4042545325384,23.080000000000002
"Nigeria",49.9426875,1807.8845584562114,22.75
"Vietnam",73.3359375,1275.4125799025383,19.406666666666663
"Guyana",66.12150000000001,3290.908607866078,10.475000000000001
"Saudi Arabia",75.02918750000003,16035.488268057961,5.55
"Moldova",68.440375,1789.9350453997145,2.7
"Sri Lanka",72.0058125,2118.636383852088,23.174999999999997
"Comoros",60.54356250000001,1218.1951204836198,21.0
"Djibouti",59.2185625,1223.8285970157,24.0
"North Macedonia",74.23460365853659,3803.367413470302,1.55
"Guatemala",70.070625,2593.243348640672,15.875
"Cambodia",65.5528125,672.4557757758677,29.859999999999996
"Solomon Islands",68.3225,1476.7091477575339,14.0
"Indonesia",68.0581875,2150.781098029164,21.82222222222222
"Dominican Republic",71.3678125,4589.393428156406,3.7600000000000002
"Mozambique",53.2455,487.3413973413335,19.02
"Brazil",72.29024999999999,7599.895732743719,2.2
"Panama",76.01325,7460.898336903063,4.6
"Haiti",59.8629375,1035.4786461019678,14.799999999999999
"Greece",79.78140243902439,22069.881068578543,0.5
"Tonga",69.9555625,2994.3597165317665,1.8
"Korea, Rep.",79.12073170731709,20793.35924385478,0.8666666666666667
"Gabon",63.013625,7136.065771989593,7.7
"Mauritania",62.4984375,1294.590813369202,23.566666666666666
"Kazakhstan",67.71875,6942.358638724056,3.5333333333333337
"Tajikistan",66.9905,580.938903943283,12.875
"Cote d'Ivoire",53.654375,1483.8252064396447,22.0
